Voltage,Current,PowerFactor,Temperature,Frequency,FaultType
202,4.051396404820071,0.9624938428701655,48,52,Normal
279,3.9068772066366657,0.917255584332277,58,54,Voltage Fluctuation
192,2.365496678480949,0.8655738902501517,43,53,Normal
114,6.720669451099992,0.8529413853961272,45,49,Voltage Fluctuation
206,7.648411332626164,0.9127433667877385,36,54,Normal
171,2.6570863942835237,0.8863579673517263,26,48,Normal
120,9.755276166950106,0.7655682764704714,32,50,Power Factor Issue
202,6.532888347480276,0.8781256621925829,24,52,Normal
221,7.243902693275801,0.9516009043082099,45,47,Normal
174,6.407627469382281,0.8648099693992395,68,54,Thermal Overload
187,6.00763060875326,0.7629891443885671,22,45,Power Factor Issue
216,7.596403313082179,0.9465695498460083,26,48,Normal
199,3.552402459307125,0.8003409455339936,77,48,Power Factor Issue
203,3.8192813049527112,0.8146552087220097,68,45,Power Factor Issue
251,10.617856210135173,0.7911765883580739,58,53,Voltage Fluctuation
230,11.461154621336327,0.8325537662178744,72,47,Overload Fault
249,5.7330931627975295,0.9391878764221587,20,49,Normal
152,4.707446731435538,0.8798464648759843,68,50,Thermal Overload
101,8.439995432390157,0.8012203185376782,36,52,Voltage Fluctuation
187,6.087341710980964,0.9694575195380102,62,50,Normal
257,2.2538635566034486,0.9698954637378823,44,47,Voltage Fluctuation
137,3.5615259736619036,0.9676446062615017,78,50,Thermal Overload
229,9.159722288473976,0.8096990528453848,22,45,Power Factor Issue
120,8.589239419101514,0.862809836045247,34,48,Normal
260,2.270959925034835,0.9962474140352188,48,50,Voltage Fluctuation
157,4.219721619329494,0.9430031190774976,72,51,Thermal Overload
121,4.310747965880714,0.7567918553063899,62,54,Power Factor Issue
188,8.718927435987284,0.766301147815123,51,47,Power Factor Issue
148,2.1971053775436413,0.8659828442030832,45,53,Normal
158,3.0410858198457387,0.97730505146539,79,51,Thermal Overload
269,9.999160853731894,0.8846754494881786,35,45,Voltage Fluctuation
114,3.785446620543336,0.8744531270085726,44,46,Voltage Fluctuation
274,8.527461078518748,0.7763684249891576,73,45,Voltage Fluctuation
150,4.381827810467265,0.9141950261810735,47,53,Normal
207,2.9944139275934516,0.9555257901500563,28,53,Normal
154,4.431721909994541,0.8451050018768906,75,51,Power Factor Issue
163,9.22266931855659,0.9439029627313319,75,54,Thermal Overload
230,10.556964681062858,0.9911191634752029,20,47,Overload Fault
150,10.302198645669916,0.8009416147819223,48,49,Overload Fault
234,5.9718352961845484,0.8808324077986853,76,48,Thermal Overload
120,8.680851365706461,0.8217844895211439,41,51,Power Factor Issue
172,4.04984295415821,0.9482136047584598,35,53,Normal
266,4.931477302610133,0.8943983414702894,60,46,Voltage Fluctuation
117,10.963358185211197,0.9086456043875759,70,52,Voltage Fluctuation
231,2.13001923510736,0.9494785399039736,63,53,Normal
188,2.855085308544681,0.8489926181656138,70,54,Power Factor Issue
159,4.078862551460273,0.9787725171017608,73,54,Thermal Overload
113,2.265322038738197,0.883257216811535,60,53,Voltage Fluctuation
108,3.814354350897973,0.789488705708837,26,54,Voltage Fluctuation
189,7.830415609696922,0.9239747795422006,33,51,Normal
152,6.214245505924979,0.9483153376095637,48,53,Normal
229,10.926717110769749,0.8291904192668816,38,53,Overload Fault
183,10.17443561738441,0.9642948142496882,38,47,Overload Fault
191,5.41817351697876,0.9765358136914416,21,48,Normal
210,4.594234334312925,0.8192261218444522,60,46,Power Factor Issue
271,5.796924081672669,0.9958803681788055,64,54,Voltage Fluctuation
107,7.902949425148077,0.7851778820121896,34,47,Voltage Fluctuation
274,4.680636408228763,0.8005039171006225,22,49,Voltage Fluctuation
134,8.241489078491341,0.7960562098095065,30,49,Power Factor Issue
180,6.0941165219124045,0.9734974275019677,72,50,Thermal Overload
263,7.520471808519803,0.9135731380812404,65,51,Voltage Fluctuation
149,6.361265291353167,0.7880260708055682,49,51,Power Factor Issue
203,4.9446575954191765,0.8600808545920873,76,45,Thermal Overload
231,11.484533069621566,0.9038245062674505,59,46,Overload Fault
101,9.636057941597608,0.7708660212473458,37,53,Voltage Fluctuation
233,3.4011317576645252,0.9706040921018346,70,54,Thermal Overload
153,10.684679758979128,0.9509008838603838,67,46,Overload Fault
205,6.874311982495136,0.8763016933941595,21,50,Normal
103,10.945522268940914,0.9917816538147926,51,45,Voltage Fluctuation
153,9.998552559473152,0.8544402448187749,27,47,Normal
245,6.252135044692334,0.9960275797591245,41,46,Normal
143,2.224693083201174,0.9169799997009067,25,47,Normal
261,4.686773593849461,0.9086678183134853,31,49,Voltage Fluctuation
113,7.416342146608669,0.7914887238239463,66,54,Voltage Fluctuation
194,8.334782198261472,0.970481939576161,76,50,Thermal Overload
147,4.578876854332023,0.8568724219801538,59,53,Normal
114,3.3935607407282413,0.7905583514456198,55,54,Voltage Fluctuation
139,10.34930236799299,0.7531518799939397,34,48,Overload Fault
181,11.84402180703552,0.8899389209095956,47,51,Overload Fault
210,7.256901823026858,0.8818499055306691,71,50,Thermal Overload
152,3.7167928584830348,0.9298384055922897,76,46,Thermal Overload
123,4.7230732651936895,0.9725645132544505,68,54,Thermal Overload
